id_proveedor,proveedor,nombre_contacto,email_contacto
1,Producto3,Bon Ice,morbi.sit.amet@hotmail.org
2,Producto10,Bon Ice,in@icloud.edu
3,Producto1,Escribe,blandit.congue.in@icloud.edu
4,Producto2,Bon Ice,malesuada.integer@live.com
5,Producto5,Escribe,pulvinar.arcu@icloud.edu
6,Producto7,Bon Ice,mauris.blandit.mattis@live.edu
7,Producto7,Escribe,aliquam.eros@live.com
8,Producto7,Bon Ice,nonummy.ac.feugiat@icloud.org
9,Producto10,Escribe,sem.molestie.sodales@live.org
10,Producto9,Bon Ice,eu@hotmail.org
